Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,9487447,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,9487447.0,0.0,9487447.0,9487447.0,9487447.0,9487447.0,0.0,9487447.0,9487447.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.2108048669999999,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,9487447.0,0.0,9487447.0,9487447.0,DDoS attacks-LOIC-HTTP
3389,6,1922915,8,7,1138,1581.0,677,0,142.25,227.7465697,1173,0,225.8571429,430.0986044,1413,7,137351.0714,249431.4326,955068.0,3.0,1922915.0,274702.1429,371997.2732,1098531.0,3.0,1833041.0,305506.8333,321319.4393,955068.0,115165.0,0,0,0,0,172,152,4.160350301,3.640306514,0,1173,169.9375,319.3627966,101992.5958,0,0,0,1,0,0,0,0,0,181.2666667,142.25,225.8571429,0,0,0,0,0,0,8,1138,7,1581,8192,62862,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,397,1,1,39,55.0,39,39,39.0,0.0,55,55,55.0,0.0,236775,5037,397.0,0.0,397.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2518.8916876574303,2518.8916876574303,39,55,44.3333333333333,9.23760430703401,85.3333333333333,0,0,0,0,0,0,0,0,1,66.5,39.0,55.0,0,0,0,0,0,0,1,39,1,55,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
445,6,1340353,7,5,364,582.0,103,0,52.0,49.2172056636,409,0,116.4,167.0353256051,705,8,121850.272727273,139377.980179145,271521.0,4.0,1340353.0,223392.166666667,109466.849625659,271719.0,4.0,1074501.0,268625.25,2275.900023434,271566.0,266125.0,0,0,0,0,152,112,5.2225048178,3.7303605841,0,409,72.7692307692,109.5332170669,11997.5256410256,0,0,0,1,0,0,0,0,0,78.8333333333,52.0,116.4,0,0,0,0,0,0,7,364,5,582,8192,259,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
50283,6,3619636,2,0,154,0.0,77,77,77.0,0.0,0,0,0.0,0.0,42,0,3619636.0,0.0,3619636.0,3619636.0,3619636.0,3619636.0,0.0,3619636.0,3619636.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,0.5525417472999999,0.0,77,77,77.0,0.0,0.0,0,1,0,0,1,1,0,0,0,115.5,77.0,0.0,0,0,0,0,0,0,2,154,0,0,64,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,3832,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,521,3832.0,0.0,3832.0,3832.0,3832.0,3832.0,0.0,3832.0,3832.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,521.9206680585,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53043,6,8515,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,234,8515.0,0.0,8515.0,8515.0,8515.0,8515.0,0.0,8515.0,8515.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,234.8796241926,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,123,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,117175195,18,16,879,1412.0,434,0,48.8333333333,140.1256788828,706,0,88.25,241.1449080256,19,0,3550763.48484849,4707757.33473839,10013017.0,40.0,117175195.0,6892658.52941177,4595368.04014403,10109163.0,237.0,112282859.0,7485523.93333333,4504765.95014253,10109201.0,95501.0,0,0,0,0,372,464,0.1536161301,0.1365476712,0,706,65.4571428571,189.7081881171,35989.1966386554,0,0,0,1,0,0,0,0,0,67.3823529412,48.8333333333,88.25,0,0,0,0,0,0,18,879,16,1412,8192,176,13,20,199899.272727273,344099.400923364,1237398.0,96099.0,10007636.6363636,17720.2915171999,10013017.0,9954208.0,Benign
21,6,2,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1000000,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,500000.0,500000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS attacks-SlowHTTPTest
443,6,825,3,0,77,0.0,46,0,25.6666666667,23.459184413200003,0,0,0.0,0.0,93333,3636,412.5,560.7356774809,809.0,16.0,825.0,412.5,560.7356774809,809.0,16.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,3636.3636363636,0.0,0,46,30.75,21.6852484422,470.25,0,1,0,0,1,0,0,0,0,41.0,25.6666666667,0.0,0,0,0,0,0,0,3,77,0,0,256,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
